ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,CreditHistory,Dependents,Education,EmploymentType,PropertyArea,MaritalStatus,Loan_Status
95077,38724,50432,60,1,0,Graduate,Salaried,Urban,Married,1
50920,49241,311550,180,1,2,Not Graduate,Self Employed,Rural,Single,1
34457,52003,119687,300,1,1,Not Graduate,Salaried,Urban,Single,1
93953,68379,294288,180,1,0,Not Graduate,Self Employed,Semiurban,Single,1
67995,15972,384091,12,1,2,Graduate,Self Employed,Rural,Married,1
24692,22927,408468,60,1,3+,Not Graduate,Self Employed,Urban,Married,1
52065,66630,363047,84,0,1,Not Graduate,Salaried,Urban,Married,0
114299,52347,235221,120,0,3+,Graduate,Salaried,Rural,Single,1
26534,69518,268712,300,1,0,Not Graduate,Self Employed,Urban,Married,1
55397,45283,237840,60,1,3+,Graduate,Salaried,Semiurban,Married,1
106387,12205,377936,300,1,3+,Graduate,Self Employed,Rural,Single,1
16016,12748,345583,120,1,0,Not Graduate,Salaried,Rural,Married,0
70591,21097,214329,36,1,1,Graduate,Salaried,Rural,Married,1
38247,3092,225746,240,1,0,Not Graduate,Salaried,Rural,Single,1
39300,53311,363392,36,0,2,Graduate,Salaried,Semiurban,Single,0
97798,22692,226443,60,0,0,Graduate,Salaried,Semiurban,Single,1
24268,23862,279354,120,1,0,Graduate,Self Employed,Urban,Single,1
101807,79507,218369,240,1,1,Graduate,Salaried,Semiurban,Single,1
27185,70469,497489,36,1,2,Not Graduate,Salaried,Urban,Married,1
53044,4926,84743,60,0,3+,Not Graduate,Salaried,Urban,Single,0
66214,3969,249824,120,0,3+,Graduate,Salaried,Rural,Single,1
129752,35733,129803,60,1,3+,Not Graduate,Salaried,Urban,Single,1
63984,69855,387261,180,1,3+,Not Graduate,Self Employed,Rural,Married,1
55774,41743,251123,120,1,1,Not Graduate,Self Employed,Urban,Married,1
17568,39876,72076,36,1,2,Not Graduate,Self Employed,Semiurban,Single,1
135151,20323,291424,60,1,1,Not Graduate,Salaried,Rural,Married,1
148767,16428,256384,300,0,0,Not Graduate,Salaried,Urban,Married,0
139375,34578,300699,36,0,2,Not Graduate,Self Employed,Semiurban,Married,0
54504,64140,399627,60,1,2,Graduate,Self Employed,Semiurban,Single,1
28986,6364,184035,300,1,3+,Not Graduate,Self Employed,Rural,Married,1
76858,35349,431361,300,0,3+,Graduate,Self Employed,Rural,Married,0
144312,691,194938,12,1,3+,Graduate,Salaried,Rural,Single,1
27666,66467,416648,300,0,3+,Graduate,Self Employed,Urban,Single,0
53660,45896,213377,36,1,0,Not Graduate,Salaried,Rural,Married,1
149633,57062,263968,36,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
41854,79762,417793,84,1,1,Graduate,Salaried,Semiurban,Single,1
79505,13861,438388,240,0,2,Graduate,Salaried,Rural,Single,0
119488,63928,344957,180,1,0,Not Graduate,Salaried,Rural,Single,1
37662,41347,378873,36,0,0,Not Graduate,Self Employed,Semiurban,Married,0
23392,3121,316656,120,1,2,Not Graduate,Salaried,Urban,Single,0
45535,28164,300703,240,1,2,Graduate,Salaried,Semiurban,Single,1
128569,25491,465882,300,0,2,Graduate,Self Employed,Semiurban,Married,1
67256,59222,197702,60,1,0,Not Graduate,Self Employed,Semiurban,Single,1
104135,23165,167907,12,1,1,Not Graduate,Self Employed,Rural,Married,1
142478,3748,255591,120,1,1,Graduate,Self Employed,Urban,Single,1
50222,26553,443852,240,0,2,Not Graduate,Self Employed,Urban,Married,0
92373,60380,446991,120,0,0,Not Graduate,Self Employed,Rural,Single,0
138684,44331,114591,120,0,3+,Graduate,Salaried,Semiurban,Single,1
25965,39560,259633,120,0,0,Graduate,Salaried,Rural,Married,0
39538,53865,283559,240,1,2,Graduate,Self Employed,Rural,Married,1
123066,46686,323495,12,1,0,Graduate,Self Employed,Urban,Married,1
128252,75910,427544,300,1,0,Not Graduate,Salaried,Urban,Married,1
113806,4675,170533,84,1,0,Graduate,Salaried,Rural,Married,1
125989,66706,153627,180,1,3+,Not Graduate,Salaried,Rural,Single,1
105982,77986,498400,300,1,2,Not Graduate,Self Employed,Urban,Married,1
136626,76216,178381,36,1,2,Not Graduate,Salaried,Urban,Single,1
134176,10068,292264,240,1,2,Graduate,Salaried,Semiurban,Married,1
146278,54460,407851,120,1,1,Graduate,Self Employed,Rural,Married,1
137409,46418,393822,300,0,1,Not Graduate,Self Employed,Semiurban,Single,0
38419,26206,123309,36,1,2,Not Graduate,Self Employed,Semiurban,Single,1
65015,287,275074,240,0,0,Graduate,Salaried,Semiurban,Single,0
137096,22337,322922,36,0,0,Not Graduate,Self Employed,Urban,Single,0
122059,20666,193573,120,1,2,Not Graduate,Salaried,Semiurban,Married,1
125687,1161,424857,84,1,3+,Not Graduate,Salaried,Urban,Single,1
102939,38751,445324,240,1,3+,Not Graduate,Self Employed,Urban,Married,1
120878,14758,86382,36,1,0,Not Graduate,Salaried,Urban,Married,1
77623,65780,272426,60,1,0,Not Graduate,Self Employed,Rural,Married,1
90450,3178,387931,36,0,1,Not Graduate,Self Employed,Semiurban,Single,0
108426,31831,73341,180,1,3+,Not Graduate,Self Employed,Urban,Single,1
132845,2176,195439,120,1,0,Graduate,Self Employed,Rural,Single,1
58585,33654,432111,12,0,0,Graduate,Salaried,Rural,Single,0
124225,26627,276280,36,1,2,Not Graduate,Self Employed,Rural,Single,1
79044,52550,181066,84,1,1,Not Graduate,Salaried,Urban,Single,1
124556,44910,250940,60,0,3+,Graduate,Salaried,Urban,Married,0
17693,58251,455218,60,0,3+,Graduate,Self Employed,Urban,Single,0
110259,35422,309252,12,1,1,Graduate,Salaried,Rural,Married,1
40939,11984,135820,300,0,0,Not Graduate,Self Employed,Urban,Married,0
33047,61386,109949,180,1,3+,Graduate,Self Employed,Semiurban,Single,1
41105,7135,458916,12,1,3+,Graduate,Self Employed,Urban,Single,1
90766,320,260377,180,1,3+,Not Graduate,Salaried,Urban,Single,1
59262,21684,112543,36,0,2,Graduate,Self Employed,Semiurban,Single,1
140117,55913,472534,120,1,1,Not Graduate,Self Employed,Urban,Married,1
38776,21889,339754,84,1,3+,Graduate,Salaried,Urban,Single,1
143376,48899,311878,60,1,1,Graduate,Self Employed,Urban,Single,1
107787,10770,254446,12,1,0,Graduate,Self Employed,Urban,Married,1
142948,39321,377370,84,1,1,Graduate,Self Employed,Rural,Married,1
70016,41777,357311,180,1,2,Graduate,Self Employed,Urban,Single,1
36959,46250,258851,120,1,2,Not Graduate,Self Employed,Semiurban,Married,1
134101,73034,209011,60,1,1,Not Graduate,Self Employed,Semiurban,Single,1
18748,40130,117381,60,1,2,Graduate,Salaried,Rural,Single,1
28545,49346,358854,180,1,3+,Not Graduate,Self Employed,Urban,Married,1
142659,2537,328910,120,1,2,Graduate,Self Employed,Semiurban,Married,1
88530,15216,152416,60,1,0,Graduate,Self Employed,Rural,Single,1
108557,3009,62780,120,1,1,Graduate,Self Employed,Urban,Single,1
76087,29327,98458,60,1,1,Graduate,Salaried,Rural,Single,1
83840,14209,368365,36,0,0,Graduate,Self Employed,Urban,Married,0
133451,48443,313653,180,0,0,Not Graduate,Salaried,Rural,Married,1
66005,15029,401637,120,1,0,Not Graduate,Self Employed,Rural,Single,1
54353,67613,477562,84,0,0,Not Graduate,Self Employed,Semiurban,Single,0
67733,79443,428994,300,1,3+,Not Graduate,Salaried,Semiurban,Married,1
80318,56997,227946,36,1,2,Graduate,Salaried,Rural,Single,1
82172,62559,469364,240,0,2,Not Graduate,Self Employed,Urban,Married,0
108264,64892,81533,84,1,3+,Graduate,Self Employed,Urban,Single,1
41736,70409,420288,180,1,0,Graduate,Self Employed,Urban,Married,1
127859,8635,434546,60,1,1,Not Graduate,Self Employed,Urban,Single,1
127181,33065,390611,240,1,1,Not Graduate,Self Employed,Urban,Single,1
146926,33783,313503,84,1,1,Graduate,Self Employed,Semiurban,Single,1
105084,34152,169119,36,1,0,Graduate,Salaried,Rural,Married,1
22392,58741,271140,240,0,3+,Graduate,Self Employed,Semiurban,Single,0
70680,51502,332488,240,1,3+,Not Graduate,Self Employed,Urban,Single,1
65859,29092,430643,120,1,3+,Graduate,Self Employed,Rural,Single,1
140657,17653,381922,12,0,2,Graduate,Salaried,Urban,Single,0
85467,40469,332745,84,1,2,Graduate,Salaried,Urban,Single,1
113506,59754,295840,12,1,2,Graduate,Salaried,Rural,Single,1
124751,29978,462332,180,1,2,Not Graduate,Self Employed,Urban,Married,1
133906,43169,238057,84,1,1,Not Graduate,Salaried,Semiurban,Married,1
40342,48287,413157,84,1,1,Graduate,Self Employed,Semiurban,Single,1
121308,54745,298182,120,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
121081,5543,342926,60,1,2,Graduate,Self Employed,Urban,Married,1
104045,56392,161095,36,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
49698,21067,493035,36,1,0,Not Graduate,Self Employed,Urban,Single,1
125078,51033,409267,36,1,2,Not Graduate,Self Employed,Urban,Married,1
95623,45256,356602,300,1,2,Not Graduate,Self Employed,Semiurban,Single,1
37671,69345,436369,180,0,3+,Graduate,Salaried,Semiurban,Single,0
108384,22191,189152,240,0,3+,Graduate,Salaried,Urban,Married,1
101202,72742,215029,60,1,0,Graduate,Salaried,Urban,Single,1
66663,28992,457124,12,0,3+,Not Graduate,Self Employed,Urban,Single,1
30708,48803,408332,36,0,2,Not Graduate,Salaried,Urban,Single,0
106906,63477,276952,300,0,1,Graduate,Self Employed,Semiurban,Single,0
64811,13210,171292,12,1,0,Not Graduate,Salaried,Urban,Married,1
148883,26270,140570,60,0,0,Not Graduate,Salaried,Urban,Married,1
71250,62008,173791,180,1,2,Graduate,Self Employed,Urban,Married,1
127547,5197,490698,60,1,1,Not Graduate,Salaried,Urban,Single,1
139249,7452,437435,120,1,3+,Graduate,Self Employed,Urban,Married,1
49754,41486,410519,240,1,3+,Not Graduate,Salaried,Rural,Married,1
148983,14859,88314,36,0,1,Graduate,Salaried,Rural,Married,0
99896,27236,282061,180,1,1,Not Graduate,Salaried,Rural,Single,1
86295,31899,255993,120,1,2,Not Graduate,Self Employed,Semiurban,Single,1
115689,32083,421024,36,1,3+,Not Graduate,Self Employed,Urban,Single,1
26111,67708,412470,60,0,2,Not Graduate,Salaried,Semiurban,Single,0
52504,16663,196903,60,1,3+,Not Graduate,Salaried,Urban,Single,1
147874,19053,433170,300,1,3+,Graduate,Self Employed,Rural,Married,1
23155,11085,463341,84,1,1,Not Graduate,Salaried,Urban,Married,1
54384,30564,374595,84,1,2,Graduate,Salaried,Semiurban,Married,1
127561,59095,95708,60,1,1,Graduate,Self Employed,Semiurban,Single,1
62254,69517,329826,60,1,2,Graduate,Salaried,Urban,Married,1
36918,21153,414550,12,1,3+,Not Graduate,Salaried,Semiurban,Married,1
100981,5247,216866,300,0,0,Graduate,Self Employed,Rural,Single,1
45306,10553,371516,240,1,0,Not Graduate,Self Employed,Urban,Single,1
61843,20811,89477,12,1,2,Not Graduate,Self Employed,Rural,Single,1
135975,6135,497079,240,1,2,Not Graduate,Self Employed,Rural,Single,1
111601,5573,219809,120,1,1,Graduate,Salaried,Semiurban,Married,1
122512,79267,183692,84,1,3+,Not Graduate,Self Employed,Urban,Single,1
126472,7189,284241,84,1,0,Not Graduate,Self Employed,Rural,Single,1
148121,43646,303105,300,1,1,Not Graduate,Salaried,Rural,Single,1
118727,76623,216129,60,1,2,Graduate,Self Employed,Urban,Married,1
127893,53687,483354,60,1,3+,Graduate,Self Employed,Semiurban,Married,1
35932,68312,260462,120,0,1,Graduate,Salaried,Rural,Married,0
132796,27564,103024,180,1,1,Graduate,Self Employed,Urban,Married,1
44855,28835,452893,180,1,2,Not Graduate,Self Employed,Urban,Married,1
22400,61587,225183,300,1,3+,Graduate,Salaried,Rural,Single,1
132858,7697,205146,180,1,0,Not Graduate,Self Employed,Rural,Single,1
30151,73922,67824,84,1,1,Graduate,Self Employed,Rural,Single,1
81690,17046,443981,12,1,2,Not Graduate,Salaried,Semiurban,Married,1
19499,57823,488655,180,1,1,Graduate,Salaried,Semiurban,Single,1
21295,73580,409295,36,1,2,Graduate,Self Employed,Urban,Married,1
135885,53370,98926,300,0,2,Graduate,Self Employed,Urban,Married,1
141071,9615,217932,120,1,2,Not Graduate,Self Employed,Rural,Single,1
74040,5060,325119,180,1,3+,Not Graduate,Salaried,Urban,Single,1
27183,76436,387021,36,1,0,Graduate,Self Employed,Semiurban,Single,1
131336,60519,274749,180,0,3+,Graduate,Self Employed,Urban,Single,0
47711,71117,390014,12,1,0,Graduate,Salaried,Urban,Married,1
20539,61158,295453,12,1,2,Graduate,Self Employed,Rural,Married,1
141063,34782,131371,180,1,0,Graduate,Self Employed,Rural,Married,1
148629,78533,207620,300,0,3+,Graduate,Self Employed,Semiurban,Single,1
53360,58255,413114,300,1,1,Not Graduate,Salaried,Urban,Married,1
148272,72684,148066,36,0,3+,Not Graduate,Salaried,Urban,Single,1
36357,56918,219808,120,0,3+,Not Graduate,Self Employed,Urban,Married,0
134121,79558,111562,36,0,3+,Not Graduate,Self Employed,Rural,Single,1
92505,25256,352553,120,1,3+,Not Graduate,Salaried,Semiurban,Married,1
17869,30005,321978,180,0,3+,Not Graduate,Self Employed,Urban,Single,0
65108,6638,152192,120,1,0,Graduate,Salaried,Urban,Single,1
127296,37419,50840,60,1,0,Graduate,Salaried,Urban,Married,1
109179,33377,260481,84,1,1,Graduate,Salaried,Urban,Single,1
105272,43116,81568,240,1,3+,Graduate,Salaried,Semiurban,Married,1
53467,36634,322990,84,1,3+,Graduate,Salaried,Semiurban,Single,1
38328,23382,186971,12,1,1,Not Graduate,Self Employed,Semiurban,Married,1
106412,56063,136038,60,1,1,Not Graduate,Salaried,Rural,Single,1
73871,22394,247173,84,1,2,Not Graduate,Self Employed,Urban,Married,1
143391,67789,481989,180,1,1,Not Graduate,Self Employed,Urban,Married,1
101416,864,179789,120,0,1,Not Graduate,Self Employed,Urban,Married,0
85271,40222,419604,120,1,1,Graduate,Salaried,Urban,Married,1
59064,13666,124723,36,1,2,Not Graduate,Self Employed,Semiurban,Single,1
122450,20955,288755,36,1,0,Not Graduate,Self Employed,Rural,Single,1
34830,69590,416338,300,1,2,Not Graduate,Self Employed,Rural,Married,1
131381,66471,423561,120,1,0,Graduate,Salaried,Urban,Married,1
62333,43298,447527,300,1,1,Graduate,Self Employed,Semiurban,Single,1
149508,63108,290822,180,0,2,Graduate,Salaried,Rural,Married,1
91213,48924,106888,120,1,2,Graduate,Salaried,Rural,Married,1
45746,16709,353760,36,1,0,Graduate,Self Employed,Urban,Married,1
64377,9726,233206,84,1,2,Graduate,Self Employed,Rural,Single,1
69045,60824,318227,300,1,2,Not Graduate,Salaried,Urban,Married,1
112888,40542,193670,300,1,3+,Not Graduate,Salaried,Semiurban,Single,1
122455,20245,394620,12,1,0,Not Graduate,Self Employed,Urban,Single,1
108179,34753,142416,36,1,2,Graduate,Self Employed,Rural,Single,1
60714,79788,314724,180,1,2,Graduate,Self Employed,Urban,Married,1
117946,21316,172834,300,1,1,Graduate,Self Employed,Urban,Married,1
124616,15960,162148,84,1,3+,Graduate,Self Employed,Urban,Married,1
120983,30791,238467,84,1,3+,Not Graduate,Salaried,Urban,Single,1
139123,25216,354465,84,1,1,Graduate,Salaried,Urban,Married,1
58484,32467,321530,60,1,1,Graduate,Salaried,Urban,Married,1
97989,64427,365315,60,1,1,Graduate,Salaried,Rural,Single,1
51212,62047,200594,240,1,1,Graduate,Salaried,Urban,Single,1
58525,73290,246604,84,1,3+,Graduate,Self Employed,Rural,Single,1
78208,47014,457851,300,1,2,Not Graduate,Salaried,Urban,Married,1
48828,4078,443887,180,1,2,Graduate,Self Employed,Semiurban,Married,1
18420,78389,83545,120,1,1,Graduate,Salaried,Urban,Married,1
111752,50519,235151,180,1,0,Not Graduate,Salaried,Rural,Single,1
146373,4042,338999,60,1,1,Graduate,Self Employed,Rural,Married,1
130294,49052,85790,36,1,2,Graduate,Salaried,Semiurban,Single,1
139019,14389,101012,300,1,0,Not Graduate,Salaried,Urban,Married,1
80726,68111,167827,240,1,1,Not Graduate,Salaried,Semiurban,Married,1
130668,50733,310123,60,1,0,Not Graduate,Salaried,Urban,Married,1
21102,34754,64260,120,1,1,Not Graduate,Self Employed,Urban,Married,1
133015,18624,246211,12,0,3+,Not Graduate,Salaried,Rural,Married,0
41641,26681,313218,240,0,2,Not Graduate,Salaried,Semiurban,Single,0
118746,24704,485892,60,0,1,Not Graduate,Salaried,Semiurban,Single,0
51631,7493,190547,180,1,0,Not Graduate,Salaried,Rural,Married,1
87991,69639,259486,240,1,2,Not Graduate,Salaried,Rural,Married,1
19014,54383,196192,300,0,1,Not Graduate,Salaried,Semiurban,Single,0
26093,2994,466363,180,0,1,Graduate,Salaried,Rural,Married,0
33070,69280,314130,84,1,1,Not Graduate,Salaried,Urban,Single,1
50777,47234,290201,84,0,1,Not Graduate,Self Employed,Semiurban,Married,0
71958,47291,213502,84,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
97074,5594,288569,240,0,2,Not Graduate,Self Employed,Rural,Single,0
25729,7371,105479,12,1,3+,Not Graduate,Salaried,Urban,Single,1
120864,47315,442977,120,1,2,Graduate,Salaried,Semiurban,Married,1
145858,79526,314320,300,1,1,Graduate,Self Employed,Semiurban,Single,1
120510,16626,134258,240,1,2,Graduate,Self Employed,Urban,Single,1
69748,7130,289423,36,1,0,Not Graduate,Self Employed,Rural,Married,1
20801,6828,427332,300,1,2,Not Graduate,Self Employed,Rural,Married,0
44592,57514,134153,180,1,0,Graduate,Salaried,Rural,Married,1
25647,52664,242990,180,1,0,Not Graduate,Self Employed,Rural,Married,1
125627,17883,309642,240,0,3+,Not Graduate,Salaried,Urban,Single,0
85316,43059,470331,240,1,2,Graduate,Self Employed,Urban,Married,1
17368,42932,283984,120,0,1,Not Graduate,Salaried,Semiurban,Married,0
92575,61269,127442,12,1,2,Not Graduate,Salaried,Semiurban,Single,1
21655,75986,352146,240,1,3+,Not Graduate,Salaried,Urban,Single,1
85031,2035,107124,84,1,0,Not Graduate,Salaried,Semiurban,Married,1
102922,40745,449826,120,1,0,Not Graduate,Self Employed,Urban,Married,1
139046,17241,361896,36,1,3+,Not Graduate,Salaried,Rural,Single,1
47097,52975,309488,84,1,3+,Not Graduate,Salaried,Urban,Married,1
139862,23154,128947,36,1,2,Graduate,Self Employed,Urban,Single,1
133834,25625,431116,60,0,0,Graduate,Self Employed,Semiurban,Single,0
108848,44950,386860,36,1,3+,Not Graduate,Self Employed,Urban,Single,1
67921,56396,491209,84,1,2,Not Graduate,Self Employed,Rural,Married,1
141141,13331,322217,60,1,2,Graduate,Salaried,Rural,Married,1
37677,63927,349395,84,1,1,Graduate,Self Employed,Semiurban,Single,1
70609,63014,146496,180,0,0,Graduate,Salaried,Semiurban,Married,1
46024,39346,252509,84,0,2,Graduate,Self Employed,Urban,Single,1
85313,70411,351041,60,1,3+,Graduate,Salaried,Semiurban,Married,1
142813,54478,494122,36,1,0,Graduate,Self Employed,Rural,Married,1
110285,12254,363760,180,1,3+,Graduate,Self Employed,Semiurban,Single,1
128632,55734,312037,12,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
18051,28621,316626,12,1,2,Graduate,Self Employed,Rural,Married,1
129692,76441,420134,300,0,2,Graduate,Salaried,Urban,Married,1
102235,46121,272036,12,0,1,Graduate,Self Employed,Urban,Single,0
88523,60197,220646,12,0,3+,Not Graduate,Salaried,Semiurban,Married,1
109476,42431,355428,120,1,2,Not Graduate,Salaried,Rural,Single,1
32019,4837,385076,12,0,1,Not Graduate,Self Employed,Rural,Married,0
98613,71232,319482,60,1,0,Graduate,Self Employed,Rural,Married,1
101672,48994,223790,240,1,1,Graduate,Salaried,Urban,Married,1
88847,79079,193572,12,1,1,Graduate,Salaried,Rural,Single,1
97750,12615,192617,84,0,3+,Not Graduate,Salaried,Rural,Single,1
43251,1466,111480,240,0,0,Not Graduate,Salaried,Urban,Single,1
118481,30771,186313,12,1,3+,Not Graduate,Salaried,Rural,Married,1
127566,65911,270386,240,1,3+,Not Graduate,Self Employed,Urban,Married,1
40945,20746,466037,36,1,1,Not Graduate,Self Employed,Semiurban,Married,1
105852,60739,54695,60,1,1,Not Graduate,Salaried,Semiurban,Single,1
47217,73369,258138,60,1,2,Graduate,Self Employed,Semiurban,Married,1
23308,1893,64318,300,1,1,Not Graduate,Salaried,Semiurban,Married,1
20949,30573,363078,240,1,2,Not Graduate,Self Employed,Semiurban,Single,1
147222,40874,465547,300,1,3+,Not Graduate,Salaried,Urban,Married,1
115235,77362,433426,180,1,1,Not Graduate,Self Employed,Urban,Single,1
89740,33367,233744,120,1,0,Graduate,Self Employed,Urban,Married,1
131352,21199,141891,84,1,0,Graduate,Salaried,Rural,Married,1
81617,74328,274757,240,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
31896,57724,118754,60,1,3+,Graduate,Salaried,Rural,Married,1
145798,36405,397821,300,1,1,Graduate,Salaried,Rural,Married,1
20237,15989,414464,36,1,2,Graduate,Self Employed,Rural,Single,1
35056,28931,446053,12,1,1,Graduate,Salaried,Semiurban,Married,1
129548,9290,437405,60,1,2,Graduate,Self Employed,Rural,Married,1
126488,38367,417482,36,0,1,Graduate,Self Employed,Semiurban,Single,1
149415,79878,90077,12,1,0,Graduate,Salaried,Semiurban,Single,1
44375,79481,392059,120,1,0,Not Graduate,Self Employed,Semiurban,Single,1
31964,76298,185311,60,1,2,Graduate,Salaried,Rural,Married,1
128429,30133,291504,300,0,1,Not Graduate,Salaried,Semiurban,Single,0
82215,27052,341813,60,0,3+,Graduate,Self Employed,Semiurban,Single,0
84042,40475,360768,240,1,2,Graduate,Salaried,Urban,Single,1
108468,57656,387291,240,0,0,Graduate,Self Employed,Rural,Single,0
24435,4633,185222,36,0,2,Not Graduate,Self Employed,Urban,Married,0
93832,17304,192181,300,1,1,Graduate,Salaried,Urban,Single,1
66293,46546,280822,180,0,3+,Not Graduate,Self Employed,Rural,Single,1
93781,7008,207088,240,0,3+,Graduate,Salaried,Urban,Married,0
58919,48291,193008,84,1,2,Graduate,Salaried,Semiurban,Married,1
136172,27405,192108,120,1,1,Not Graduate,Salaried,Urban,Single,1
109758,36386,482452,84,1,1,Graduate,Salaried,Urban,Married,1
71573,20827,195093,60,0,3+,Graduate,Self Employed,Semiurban,Single,1
74101,33040,349087,84,1,0,Graduate,Salaried,Urban,Married,1
41646,60354,163694,12,1,1,Not Graduate,Salaried,Semiurban,Married,1
119185,78543,284456,120,0,3+,Graduate,Salaried,Rural,Single,0
38049,18157,262079,84,0,3+,Graduate,Self Employed,Urban,Married,0
113116,35315,294269,12,0,1,Graduate,Self Employed,Rural,Married,1
112379,35932,493232,36,1,1,Not Graduate,Salaried,Urban,Single,1
83385,21164,466460,84,1,2,Graduate,Self Employed,Semiurban,Single,1
141131,14414,295385,120,1,0,Not Graduate,Self Employed,Urban,Married,1
38289,14327,173351,12,1,2,Graduate,Salaried,Rural,Married,1
125226,946,351129,84,1,2,Graduate,Salaried,Semiurban,Single,1
115793,14693,444718,36,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
24823,27241,365980,84,1,3+,Not Graduate,Self Employed,Rural,Single,1
56975,15540,411858,12,0,0,Not Graduate,Self Employed,Rural,Married,0
24540,72255,53770,84,1,2,Not Graduate,Salaried,Urban,Married,1
31364,64757,355009,120,1,2,Not Graduate,Self Employed,Urban,Single,1
42663,41203,103811,60,1,3+,Graduate,Self Employed,Semiurban,Single,1
66991,25081,316145,300,1,3+,Graduate,Self Employed,Rural,Married,1
119182,61861,110848,300,1,1,Not Graduate,Self Employed,Rural,Married,1
109704,11350,102635,12,1,2,Graduate,Salaried,Urban,Married,1
64115,55512,70946,12,0,0,Graduate,Salaried,Urban,Married,1
106007,56809,145852,12,1,2,Not Graduate,Salaried,Semiurban,Single,1
26938,42832,403247,12,1,3+,Not Graduate,Self Employed,Rural,Married,1
106680,28369,355888,84,1,1,Not Graduate,Salaried,Rural,Married,1
19000,31728,167729,120,0,2,Graduate,Self Employed,Rural,Single,0
